1NETVIEW|HD|RETAILSID|001|20200120021838|228399,,,,,,,,,,,,,,,,
00|HSBA_CLBBC-HSIA-BAK_G002|U|OPTICAL|1|ON=BAK_G002,1,NTA/5.623:NPEHWBAK21,1,5/1/0.623;NB=NPEHWBAK21,1,3/0/0.2081:IBSE01.BRF,1,11/0/1.2081;BM=IBSE01.BRF,1,5/0/0.0:HGW21.KLG,1,3/1/6.0,,,,
00|HSBA_CLBBC-HSIA-BAK_G002|U|OPTICAL|1|ON=BAK_G002,1,NTA/5.623:NPEHWBAK21,1,5/1/0.623;NB=NPEHWBAK21,1,3/0/0.2081:IBSE01.BRF,1,11/0/1.2081;BM=IBSE01.BRF,1,6/0/0.0:HGW21.BAT,1,3/1/6.0,,,,
00|HSBA_CLBBC-HSIA-BAK_G002|U|OPTICAL|2|ON=BAK_G002,1,NTA/5.623:NPEHWBAK21,1,5/1/0.623;NN=NPEHWBAK21,1,4/0/0:NPEHWBAK22,1,4/0/0;NB=NPEHWBAK22,1,3/0/0.2081:IBSE01.JRC,1,11/0/1.2081;BM=IBSE01.JRC,1,5/0/0.0:HGW21.BAT,1,4/1/6.0
00|HSBA_CLBBC-HSIA-BAK_G002|U|OPTICAL|2|ON=BAK_G002,1,NTA/5.623:NPEHWBAK21,1,5/1/0.623;NN=NPEHWBAK21,1,4/0/0:NPEHWBAK22,1,4/0/0;NB=NPEHWBAK22,1,3/0/0.2081:IBSE01.JRC,1,11/0/1.2081;BM=IBSE01.JRC,1,6/0/0.0:HGW21.KLG,1,3/0/6.0
00|HSBA_CLBBC-HSIA-BAK_G002|U|OPTICAL|2|ON=BAK_G002,1,NTA/5.623:NPEHWBAK21,1,5/1/0.623;NN=NPEHWBAK21,1,8/0/0:NPEHWBAK22,1,8/0/0;NB=NPEHWBAK22,1,3/0/0.2081:IBSE01.JRC,1,11/0/1.2081;BM=IBSE01.JRC,1,5/0/0.0:HGW21.BAT,1,4/1/6.0
00|HSBA_CLBBC-HSIA-BAK_G002|U|OPTICAL|2|ON=BAK_G002,1,NTA/5.623:NPEHWBAK21,1,5/1/0.623;NN=NPEHWBAK21,1,8/0/0:NPEHWBAK22,1,8/0/0;NB=NPEHWBAK22,1,3/0/0.2081:IBSE01.JRC,1,11/0/1.2081;BM=IBSE01.JRC,1,6/0/0.0:HGW21.KLG,1,3/0/6.0
00|HSBA_CLBBC-HSIA-BAK_G002|U|OPTICAL|2|ON=BAK_G002,1,NTA/5.623:NPEHWBAK21,1,5/1/0.623;NN=NPEHWBAK21,1,ETH-TRUNK1:NPEHWBAK22,1,ETH-TRUNK1;NB=NPEHWBAK22,1,3/0/0.2081:IBSE01.JRC,1,11/0/1.2081;BM=IBSE01.JRC,1,5/0/0.0:HGW21.BAT,1,4/1/6.0
00|HSBA_CLBBC-HSIA-BAK_G002|U|OPTICAL|2|ON=BAK_G002,1,NTA/5.623:NPEHWBAK21,1,5/1/0.623;NN=NPEHWBAK21,1,ETH-TRUNK1:NPEHWBAK22,1,ETH-TRUNK1;NB=NPEHWBAK22,1,3/0/0.2081:IBSE01.JRC,1,11/0/1.2081;BM=IBSE01.JRC,1,6/0/0.0:HGW21.KLG,1,3/0/6.0
00|HSBA_CLBBC-HSIA-BAK_G007|U|OPTICAL|1|ON=BAK_G007,1,NTA/5.623:NPEHWBAK22,1,6/0/0.623;NB=NPEHWBAK22,1,3/0/0.2079:IBSE01.JRC,1,11/0/1.2079;BM=IBSE01.JRC,1,5/0/0.0:HGW21.BAT,1,4/1/6.0,,,,
00|HSBA_CLBBC-HSIA-BAK_G007|U|OPTICAL|1|ON=BAK_G007,1,NTA/5.623:NPEHWBAK22,1,6/0/0.623;NB=NPEHWBAK22,1,3/0/0.2079:IBSE01.JRC,1,11/0/1.2079;BM=IBSE01.JRC,1,6/0/0.0:HGW21.KLG,1,3/0/6.0,,,,
00|HSBA_CLBBC-HSIA-BAK_G007|U|OPTICAL|2|ON=BAK_G007,1,NTA/5.623:NPEHWBAK22,1,6/0/0.623;NN=NPEHWBAK22,1,4/0/0:NPEHWBAK21,1,4/0/0;NB=NPEHWBAK21,1,3/0/0.2079:IBSE01.BRF,1,11/0/1.2079;BM=IBSE01.BRF,1,5/0/0.0:HGW21.KLG,1,3/1/6.0
00|HSBA_CLBBC-HSIA-BAK_G007|U|OPTICAL|2|ON=BAK_G007,1,NTA/5.623:NPEHWBAK22,1,6/0/0.623;NN=NPEHWBAK22,1,4/0/0:NPEHWBAK21,1,4/0/0;NB=NPEHWBAK21,1,3/0/0.2079:IBSE01.BRF,1,11/0/1.2079;BM=IBSE01.BRF,1,6/0/0.0:HGW21.BAT,1,3/1/6.0
00|HSBA_CLBBC-HSIA-BAK_G007|U|OPTICAL|2|ON=BAK_G007,1,NTA/5.623:NPEHWBAK22,1,6/0/0.623;NN=NPEHWBAK22,1,8/0/0:NPEHWBAK21,1,8/0/0;NB=NPEHWBAK21,1,3/0/0.2079:IBSE01.BRF,1,11/0/1.2079;BM=IBSE01.BRF,1,5/0/0.0:HGW21.KLG,1,3/1/6.0
00|HSBA_CLBBC-HSIA-BAK_G007|U|OPTICAL|2|ON=BAK_G007,1,NTA/5.623:NPEHWBAK22,1,6/0/0.623;NN=NPEHWBAK22,1,8/0/0:NPEHWBAK21,1,8/0/0;NB=NPEHWBAK21,1,3/0/0.2079:IBSE01.BRF,1,11/0/1.2079;BM=IBSE01.BRF,1,6/0/0.0:HGW21.BAT,1,3/1/6.0
00|HSBA_CLBBC-HSIA-BAK_G007|U|OPTICAL|2|ON=BAK_G007,1,NTA/5.623:NPEHWBAK22,1,6/0/0.623;NN=NPEHWBAK22,1,ETH-TRUNK1:NPEHWBAK21,1,ETH-TRUNK1;NB=NPEHWBAK21,1,3/0/0.2079:IBSE01.BRF,1,11/0/1.2079;BM=IBSE01.BRF,1,5/0/0.0:HGW21.KLG,1,3/1/6.0
00|HSBA_MXSTV-IPTV-TNP_V1008|U|OPTICAL|1|IN=TNP_V1008,,ETH-TRUNK5.823:NPEHWTNP21,1,ETH-TRUNK5.823;,,,,,,,,,,,,
00|HSBA_MXSTV-IPTV-TNP_V1019|M|OPTICAL|1|IN=TNP_V1019,,.823:NPEHWTNP21,1,12/1/11.823;NM=NPEHWTNP21,1,1/0/0.100:MSE02.KLG,1,3/2/0.100;,,,,,,,,
00|HSBA_MXSTV-IPTV-TNP_V1019|M|OPTICAL|1|IN=TNP_V1019,0,0/19/0.823:NPEHWTNP22,1,12/1/11.823;NM=NPEHWTNP22,1,1/0/0.100:MSE02.KLJ,1,3/2/0.100;,,,,,,,,
